name,version,group,internal,resolvedLicense.licenseId,lastInheritedRiskScore,metrics.vulnerabilities
abbrev,2.0.0,,,ISC,0,0
acorn,8.14.1,,,MIT,0,0
acorn-jsx,5.3.2,,,MIT,0,0
agent,2.2.2,@npmcli,,ISC,0,0
agent-base,7.1.3,,,MIT,0,0
aggregate-error,3.1.0,,,MIT,0,0
ajv,8.17.1,,,MIT,0,0
ajv,6.12.6,,,MIT,0,0
ajv-formats,3.0.1,,,MIT,0,0
ajv-formats-draft2019,1.6.1,,,MIT,0,0
ansi-regex,6.1.0,,,MIT,0,0
ansi-regex,5.0.1,,,MIT,0,0
ansi-styles,6.2.1,,,MIT,0,0
ansi-styles,4.3.0,,,MIT,0,0
argparse,2.0.1,,,Python-2.0,0,0
argparse,1.0.10,,,MIT,0,0
babel__core,7.20.5,@types,,MIT,0,0
babel__generator,7.27.0,@types,,MIT,0,0
babel__template,7.4.4,@types,,MIT,0,0
babel__traverse,7.20.7,@types,,MIT,0,0
balanced-match,1.0.2,,,MIT,0,0
base64-js,1.5.1,,,MIT,0,0
bindings,1.5.0,,,MIT,0,0
bl,4.1.0,,,MIT,0,0
bom,4.1.0,@cyclonedx,,Apache-2.0,0,0
brace-expansion,2.0.1,,,MIT,0,0
brace-expansion,1.1.11,,,MIT,0,0
braces,3.0.3,,,MIT,0,0
browserslist,4.24.4,,,MIT,0,0
buffer,5.7.1,,,MIT,0,0
cacache,18.0.4,,,ISC,0,0
callsites,3.1.0,,,MIT,0,0
caniuse-lite,1.0.30001713,,,CC-BY-4.0,0,0
chalk,4.1.2,,,MIT,0,0
chownr,2.0.0,,,ISC,0,0
chownr,1.1.4,,,ISC,0,0
clean-stack,2.2.0,,,MIT,0,0
cliui,8.0.2,@isaacs,,ISC,0,0
clsx,2.1.1,,,MIT,0,0
code-frame,7.26.2,@babel,,MIT,0,0
color-convert,2.0.1,,,MIT,0,0
color-name,1.1.4,,,MIT,0,0
commander,2.20.3,,,MIT,0,0
commander,13.1.0,,,MIT,0,0
compat-data,7.26.8,@babel,,MIT,0,0
concat-map,0.0.1,,,MIT,0,0
config-array,0.20.0,@eslint,,Apache-2.0,0,0
config-helpers,0.2.1,@eslint,,Apache-2.0,0,0
convert-source-map,2.0.0,,,MIT,0,0
cookie,1.0.2,,,MIT,0,0
cookie,0.6.0,@types,,MIT,0,0
core,7.26.10,@babel,,MIT,0,0
core,0.19.1,@humanfs,,Apache-2.0,0,0
core,0.13.0,@eslint,,Apache-2.0,0,0
core,0.12.0,@eslint,,Apache-2.0,0,0
cross-spawn,7.0.6,,,MIT,0,0
csstype,3.1.3,,,MIT,0,0
cyclonedx-library,8.0.0,@cyclonedx,,Apache-2.0,0,0
cyclonedx-npm,3.0.0,@cyclonedx,,Apache-2.0,0,0
d3-array,3.2.4,,,ISC,0,0
d3-array,3.2.1,@types,,MIT,0,0
d3-color,3.1.3,@types,,MIT,0,0
d3-color,3.1.0,,,ISC,0,0
d3-ease,3.0.2,@types,,MIT,0,0
d3-ease,3.0.1,,,BSD-3-Clause,0,0
d3-format,3.1.0,,,ISC,0,0
d3-interpolate,3.0.4,@types,,MIT,0,0
d3-interpolate,3.0.1,,,ISC,0,0
d3-path,3.1.1,@types,,MIT,0,0
d3-path,3.1.0,,,ISC,0,0
d3-scale,4.0.9,@types,,MIT,0,0
d3-scale,4.0.2,,,ISC,0,0
d3-shape,3.2.0,,,ISC,0,0
d3-shape,3.1.7,@types,,MIT,0,0
d3-time,3.1.0,,,ISC,0,0
d3-time,3.0.4,@types,,MIT,0,0
d3-time-format,4.1.0,,,ISC,0,0
d3-timer,3.0.2,@types,,MIT,0,0
d3-timer,3.0.1,,,ISC,0,0
debug,4.4.0,,,MIT,0,0
decimal.js-light,2.5.1,,,MIT,0,0
decompress-response,6.0.0,,,MIT,0,0
deep-extend,0.6.0,,,MIT,0,0
deep-is,0.1.4,,,MIT,0,0
detect-libc,2.0.3,,,Apache-2.0,0,0
discontinuous-range,1.0.0,,,MIT,0,0
dom,1.15.10,@oozcitak,,MIT,0,0
dom-helpers,5.2.1,,,MIT,0,0
eastasianwidth,0.2.0,,,MIT,0,0
electron-to-chromium,1.5.136,,,ISC,0,0
emoji-regex,9.2.2,,,MIT,0,0
emoji-regex,8.0.0,,,MIT,0,0
encoding,0.1.13,,,MIT,0,0
end-of-stream,1.4.4,,,MIT,0,0
env-paths,2.2.1,,,MIT,0,0
